Designator,Mid X,Mid Y,Rotation,Layer
BT1,202.25,-125.5,0.0,bottom
BT2,215.75,-125.5,0.0,bottom
D1,80.5,-125.5,0.0,bottom
D10,137.5,-130.25,0.0,bottom
D11,156.5,-135.0,0.0,bottom
D12,175.5,-135.0,0.0,bottom
D13,80.5,-163.5,0.0,bottom
D14,99.5,-163.5,0.0,bottom
D15,118.5,-154.0,0.0,bottom
D16,137.5,-149.25,0.0,bottom
D17,156.5,-154.0,0.0,bottom
D18,175.5,-154.0,0.0,bottom
D19,118.5,-173.0,0.0,bottom
D2,99.5,-125.5,0.0,bottom
D20,137.5,-168.25,0.0,bottom
D21,156.5,-173.0,0.0,bottom
D22,176.964104,-176.879023,15.0,bottom
D23,195.726947,-185.922373,30.0,bottom
D24,346.5,-125.5,0.0,bottom
D25,327.5,-125.5,0.0,bottom
D26,308.5,-116.0,0.0,bottom
D27,289.5,-111.25,0.0,bottom
D28,270.5,-116.0,0.0,bottom
D29,251.5,-116.0,0.0,bottom
D3,118.5,-116.0,0.0,bottom
D30,346.5,-144.5,0.0,bottom
D31,327.5,-144.5,0.0,bottom
D32,308.5,-135.0,0.0,bottom
D33,289.5,-130.25,0.0,bottom
D34,270.5,-135.0,0.0,bottom
D35,251.5,-135.0,0.0,bottom
D36,346.5,-163.5,0.0,bottom
D37,327.5,-163.5,0.0,bottom
D38,308.5,-154.0,0.0,bottom
D39,289.5,-149.25,0.0,bottom
D4,137.5,-111.25,0.0,bottom
D40,270.5,-154.0,0.0,bottom
D41,251.5,-154.0,0.0,bottom
D42,308.5,-173.0,0.0,bottom
D43,289.5,-168.25,0.0,bottom
D44,270.5,-173.0,0.0,bottom
D45,249.729228,-174.549652,345.0,bottom
D46,230.067284,-181.422373,330.0,bottom
D5,156.5,-116.0,0.0,bottom
D6,175.5,-116.0,0.0,bottom
D7,80.5,-144.5,0.0,bottom
D8,99.5,-144.5,0.0,bottom
D9,118.5,-135.0,0.0,bottom
J1,198.725,-114.5,270.0,bottom
J2,219.275,-114.5,90.0,bottom
JP1,200.0,-123.0,0.0,bottom
JP2,204.5,-123.0,0.0,bottom
JP3,213.5,-123.0,0.0,bottom
JP4,218.0,-123.0,0.0,bottom
RSW1,133.0,-179.1,180.0,bottom
RSW2,285.0,-179.1,180.0,bottom
SW1,74.8975,-123.935,0.0,top
SW10,131.8975,-128.685,0.0,top
SW11,150.8975,-133.435,0.0,top
SW12,169.8975,-133.435,0.0,top
SW13,74.8975,-161.935,0.0,top
SW14,93.8975,-161.935,0.0,top
SW15,112.8975,-152.435,0.0,top
SW16,131.8975,-147.685,0.0,top
SW17,150.8975,-152.435,0.0,top
SW18,169.8975,-152.435,0.0,top
SW19,112.8975,-171.435,0.0,top
SW2,93.8975,-123.935,0.0,top
SW20,131.8975,-166.685,0.0,top
SW21,150.8975,-171.435,0.0,top
SW22,172.23691,-174.8964,345.0,top
SW23,192.196868,-182.420464,330.0,top
SW24,340.8975,-123.935,0.0,top
SW25,321.8975,-123.935,0.0,top
SW26,302.8975,-114.435,0.0,top
SW27,283.8975,-109.685,0.0,top
SW28,264.8975,-114.435,0.0,top
SW29,245.8975,-114.435,0.0,top
SW3,112.8975,-114.435,0.0,top
SW30,340.8975,-142.935,0.0,top
SW31,321.8975,-142.935,0.0,top
SW32,302.8975,-133.435,0.0,top
SW33,283.8975,-128.685,0.0,top
SW34,264.8975,-133.435,0.0,top
SW35,245.8975,-133.435,0.0,top
SW36,340.8975,-161.935,0.0,top
SW37,321.8975,-161.935,0.0,top
SW38,302.8975,-152.435,0.0,top
SW39,283.8975,-147.685,0.0,top
SW4,131.8975,-109.685,0.0,top
SW40,264.8975,-152.435,0.0,top
SW41,245.8975,-152.435,0.0,top
SW42,302.8975,-171.435,0.0,top
SW43,283.8975,-166.685,0.0,top
SW44,264.8975,-171.435,0.0,top
SW45,243.348313,-173.498952,15.0,top
SW46,224.273142,-181.935484,30.0,top
SW5,150.8975,-114.435,0.0,top
SW6,169.8975,-114.435,0.0,top
SW7,74.8975,-142.935,0.0,top
SW8,93.8975,-142.935,0.0,top
SW9,112.8975,-133.435,0.0,top
U1,189.64,-121.11,0.0,top
U2,228.36,-121.11,0.0,top
